gtstation_name,ellipsoidheight,ORIGIN,STATUS,longitude,latitude,state,gdc_username
TIRRA   H.S.,601.505,,NOT SHIFTED,84.846,22.878,Jharkhand,Jharkhand & Bihar  Geo-spatial Directorate
MADNAPORE   S.,-2.118,,NOT SHIFTED,87.318,22.429,West Bengal,West Bengal & Sikkim Geo-spatial Directorate
SARISA    T.S.,-50.318,NHP NMCG,NOT SHIFTED,88.187,22.247,West Bengal,West Bengal & Sikkim Geo-spatial Directorate
LAKHPAT   S.,-8.0824,,NOT SHIFTED,68.785,23.823,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
BALODI   H.S.,247.3266,,NOT SHIFTED,69.811,23.365,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
KAKARVA  H.S,92.1587,,NOT SHIFTED,70.4,23.496,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
PATA-J-SHAH  H.S.,35.5719,,NOT SHIFTED,70.944,23.557,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
HARIJ   H.S,-9.5047,,NOT SHIFTED,71.902,23.696,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
KESAMARI   H.S,-28.3358,,NOT SHIFTED,71.024,23.279,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
SONADA  T.S.,22.3011,,NOT SHIFTED,72.766,23.123,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
VADHODA  T.S.,-6.4327,,NOT SHIFTED,72.202,23.186,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
UCHAK    H.S.,321.3712,,NOT SHIFTED,74.03,23.057,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
GURLA    H.S,467.666,,NOT SHIFTED,75.552,23.294,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
PIPLA  H.S.,472.831,,NOT SHIFTED,76.355,23.339,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
AHMADPUR  H.S,466.453,,SHIFTED AND DOUBTFULL,77.67889076,23.60630344,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
SASAN  KI  TORIA,358.444,,NOT SHIFTED,79.695,23.198,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
SALAIA  H.S.,452.301,,NOT SHIFTED,79.933,23.831,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
PUNCHI  H.S.,637.734,,NOT SHIFTED,80.637,23.536,Madhya Pradesh,Madhya Pradesh Geo-spatial Directorate
GOBRA  H.S.,926.63,,NOT SHIFTED,83.481,23.619,Chhattishgarh,Odisha & Chhattishgarh Geo-spatial Directorate
CHENDWAR  H.S.,804.391,,NOT SHIFTED,85.434,23.954,Jharkhand,Jharkhand & Bihar  Geo-spatial Directorate
BIHARI NATH   H.S.,394.134,,NOT SHIFTED,86.943,23.576,West Bengal,West Bengal & Sikkim Geo-spatial Directorate
HONITAL   S.,-7.2065,,NOT SHIFTED,71.393,24.585,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
KHANKHARIA  S.,59.478,,NOT SHIFTED,71.885,24.616,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
GHODI  H.S.,808.288,,NOT SHIFTED,72.815,24.167,Gujarat,Gujarat Daman & Diu Geo-spatial Directorate
